size	time
01	14
02	13
03	13
04	13
05	13
06	13
07	14
08	14
09	14
10	14
11	15
12	16
13	16
14	17
15	19
16	19
17	21
18	24
19	25
20	28
21	31
22	34
23	37
24	42
25	46
26	53
27	58
28	65
29	72
30	81
31	96
32	105
33	119
34	131
35	151
36	167
37	188
38	203
39	244
40	277
41	302
42	320
43	362
44	428
45	465
46	526
47	649
48	646
49	648
50	774
51	798
52	985
53	1121
54	1258
55	1413
56	1511
57	1506
58	1602
59	1867
60	1778
61	1901
