size	time
01	0
02	1
03	0
04	1
05	1
06	1
07	1
08	1
09	1
10	3
11	3
12	3
13	5
14	7
15	8
16	10
17	13
18	16
19	20
20	24
21	29
22	35
23	42
24	49
25	59
26	67
27	79
28	91
29	105
30	120
31	136
32	156
33	177
34	200
35	223
36	248
37	278
38	311
39	348
40	386
41	425
42	466
43	514
44	562
45	618
46	673
47	745
48	806
49	882
50	934
51	1016
52	1102
53	1190
54	1279
55	1410
56	1526
57	1633
58	1715
59	1851
60	1976
61	2108
