size	time
01	9
02	9
03	8
04	8
05	9
06	8
07	8
08	8
09	8
10	8
11	9
12	9
13	9
14	9
15	9
16	9
17	10
18	10
19	10
20	11
21	11
22	11
23	11
24	11
25	12
26	12
27	12
28	14
29	13
30	15
31	15
32	16
33	17
34	17
35	18
36	19
37	19
38	20
39	21
40	22
41	23
42	24
43	26
44	27
45	27
46	29
47	32
48	34
49	35
50	36
51	38
52	39
53	41
54	43
55	46
56	47
57	49
58	51
59	53
60	55
61	58
