size	time
01	2
02	2
03	3
04	3
05	4
06	3
07	4
08	6
09	8
10	9
11	11
12	14
13	18
14	22
15	27
16	34
17	57
18	48
19	58
20	69
21	83
22	98
23	113
24	134
25	150
26	178
27	202
28	238
29	266
30	304
31	338
32	381
33	427
34	475
35	531
36	599
37	666
38	734
39	824
40	899
41	997
42	1110
43	1219
44	1608
45	1449
46	1606
47	1866
48	1992
49	2104
50	2303
51	2484
52	2688
53	2916
54	3174
55	3529
56	3881
57	4025
58	4337
59	4760
60	5083
61	5422
