size	time
01	0
02	1
03	1
04	1
05	1
06	3
07	4
08	5
09	7
10	10
11	13
12	17
13	20
14	26
15	32
16	39
17	46
18	56
19	65
20	77
21	89
22	104
23	119
24	135
25	153
26	176
27	199
28	224
29	249
30	274
31	310
32	350
33	378
34	422
35	462
36	497
37	547
38	595
39	646
40	716
41	774
42	825
43	895
44	1069
45	1019
46	1100
47	1202
48	1319
49	1366
50	1469
51	1582
52	1681
53	1803
54	1893
55	2045
56	2327
57	2261
58	2371
59	2478
60	2637
61	2775
