size	loc
01	302
02	333
03	377
04	411
05	503
06	568
07	674
08	786
09	1322
10	1329
11	2057
12	1722
13	2247
14	3589
15	3189
16	4046
17	5387
18	5088
19	6976
20	21078
21	7956
22	7949
23	10399
24	18633
25	12640
26	20967
27	14588
28	16890
29	36639
30	22040
31	23774
32	48935
33	27873
34	33050
35	54542
36	38518
37	36386
38	40541
39	79167
40	47681
41	83557
42	52922
43	57723
44	92671
45	72376
46	73002
47	105698
48	84351
49	92184
50	336863
51	106361
52	96303
53	113259
54	209676
55	119952
