size	lut6
01	0
02	0
03	0
04	0
05	2
06	4
07	4
08	8
09	4
10	4
11	2
12	4
13	4
14	4
15	5
16	2
17	7
18	8
19	8
20	4
21	8
22	8
23	8
24	8
25	9
26	10
27	5
28	12
29	6
30	12
31	12
32	12
33	6
34	12
35	13
36	14
37	15
38	16
39	16
40	16
41	16
42	8
43	16
44	16
45	17
46	18
47	19
48	10
49	10
50	20
51	20
52	10
53	21
54	20
55	21
56	22
57	11
58	12
59	24
60	24
61	12
